f_sigma,f_max,noise,alpha,beta,total_reward,seed
0.1,0.6,0.2,0.1,0.1,8,2
0.1,0.6,0.2,0.1,0.15,149,2
0.1,0.6,0.2,0.1,0.2,141,2
0.1,0.6,0.2,0.1,0.25,144,2
0.1,0.6,0.2,0.1,0.3,83,2
0.1,0.6,0.2,0.15,0.05,128,2
0.1,0.6,0.2,0.15,0.1,104,2
0.1,0.6,0.2,0.15,0.15,81,2
0.1,0.6,0.2,0.15,0.2,108,2
0.1,0.6,0.2,0.15,0.25,111,2
0.1,0.6,0.2,0.15,0.3,127,2
0.1,0.6,0.2,0.2,0.05,0,2
0.1,0.6,0.2,0.2,0.1,103,2
0.1,0.6,0.2,0.2,0.15,135,2
0.1,0.6,0.2,0.2,0.2,0,2
0.1,0.6,0.2,0.2,0.25,27,2
0.1,0.6,0.2,0.2,0.3,76,2
0.1,0.6,0.2,0.25,0.05,144,2
0.1,0.6,0.2,0.25,0.1,143,2
0.1,0.6,0.2,0.25,0.15,67,2
0.1,0.6,0.2,0.25,0.2,108,2
0.1,0.6,0.2,0.25,0.25,137,2
0.1,0.6,0.2,0.25,0.3,133,2
0.1,0.6,0.2,0.3,0.05,151,2
0.1,0.6,0.2,0.3,0.1,154,2
0.1,0.6,0.2,0.3,0.15,144,2
0.1,0.6,0.2,0.3,0.2,137,2
0.1,0.6,0.2,0.3,0.25,131,2
0.1,0.6,0.2,0.3,0.3,129,2
0.1,0.6,0.25,0.05,0.05,112,2
0.1,0.6,0.25,0.05,0.1,87,2
0.1,0.6,0.25,0.05,0.15,130,2
0.1,0.6,0.25,0.05,0.2,130,2
0.1,0.6,0.25,0.05,0.25,151,2
0.1,0.6,0.25,0.05,0.3,127,2
0.1,0.6,0.25,0.1,0.05,52,2
0.1,0.6,0.25,0.1,0.1,135,2
0.1,0.6,0.25,0.1,0.15,149,2
0.1,0.6,0.25,0.1,0.2,148,2
0.1,0.6,0.25,0.1,0.25,109,2
0.1,0.6,0.25,0.1,0.3,144,2
0.1,0.6,0.25,0.15,0.05,124,2
0.1,0.6,0.25,0.15,0.1,139,2
0.1,0.6,0.25,0.15,0.15,64,2
0.1,0.6,0.25,0.15,0.2,113,2
0.1,0.6,0.25,0.15,0.25,102,2
0.1,0.6,0.25,0.15,0.3,25,2
0.1,0.6,0.25,0.2,0.05,0,2
0.1,0.6,0.25,0.2,0.1,90,2
0.1,0.6,0.25,0.2,0.15,85,2
0.1,0.6,0.25,0.2,0.2,0,2
0.1,0.6,0.25,0.2,0.25,0,2
0.1,0.6,0.25,0.2,0.3,0,2
0.1,0.6,0.25,0.25,0.05,146,2
0.1,0.6,0.25,0.25,0.1,149,2
0.1,0.6,0.25,0.25,0.15,0,2
0.1,0.6,0.25,0.25,0.2,77,2
0.1,0.6,0.25,0.25,0.25,126,2
0.1,0.6,0.25,0.25,0.3,139,2
0.1,0.6,0.25,0.3,0.05,148,2
0.1,0.6,0.25,0.3,0.1,153,2
0.1,0.6,0.25,0.3,0.15,148,2
0.1,0.6,0.25,0.3,0.2,148,2
0.1,0.6,0.25,0.3,0.25,44,2
0.1,0.6,0.25,0.3,0.3,70,2
0.1,0.6,0.3,0.05,0.05,101,2
0.1,0.6,0.3,0.05,0.1,95,2
0.1,0.6,0.3,0.05,0.15,144,2
0.1,0.6,0.3,0.05,0.2,89,2
0.1,0.6,0.3,0.05,0.25,114,2
0.1,0.6,0.3,0.05,0.3,152,2
0.1,0.6,0.3,0.1,0.05,135,2
0.1,0.6,0.3,0.1,0.1,125,2
0.1,0.6,0.3,0.1,0.15,144,2
0.1,0.6,0.3,0.1,0.2,139,2
0.1,0.6,0.3,0.1,0.25,151,2
0.1,0.6,0.3,0.1,0.3,118,2
0.1,0.6,0.3,0.15,0.05,120,2
0.1,0.6,0.3,0.15,0.1,92,2
0.1,0.6,0.3,0.15,0.15,89,2
0.1,0.6,0.3,0.15,0.2,103,2
0.1,0.6,0.3,0.15,0.25,125,2
0.1,0.6,0.3,0.15,0.3,12,2
0.1,0.6,0.3,0.2,0.05,0,2
0.1,0.6,0.3,0.2,0.1,34,2
0.1,0.6,0.3,0.2,0.15,119,2
0.1,0.6,0.3,0.2,0.2,142,2
0.1,0.6,0.3,0.2,0.25,137,2
0.1,0.6,0.3,0.2,0.3,33,2
0.1,0.6,0.3,0.25,0.05,143,2
0.1,0.6,0.3,0.25,0.1,156,2
0.1,0.6,0.3,0.25,0.15,137,2
0.1,0.6,0.3,0.25,0.2,72,2
0.1,0.6,0.3,0.25,0.25,106,2
0.1,0.6,0.3,0.25,0.3,131,2
0.1,0.6,0.3,0.3,0.05,146,2
0.1,0.6,0.3,0.3,0.1,143,2
0.1,0.6,0.3,0.3,0.15,147,2
0.1,0.6,0.3,0.3,0.2,140,2
0.1,0.6,0.3,0.3,0.25,143,2
0.1,0.6,0.3,0.3,0.3,24,2
0.2,0.6,0.05,0.05,0.05,161,2
0.2,0.6,0.05,0.05,0.1,110,2
0.2,0.6,0.05,0.05,0.15,163,2
0.2,0.6,0.05,0.05,0.2,149,2
0.2,0.6,0.05,0.05,0.25,144,2
0.2,0.6,0.05,0.05,0.3,160,2
0.2,0.6,0.05,0.1,0.05,152,2
0.2,0.6,0.05,0.1,0.1,164,2
0.2,0.6,0.05,0.1,0.15,160,2
0.2,0.6,0.05,0.1,0.2,147,2
0.2,0.6,0.05,0.1,0.25,135,2
0.2,0.6,0.05,0.1,0.3,135,2
0.2,0.6,0.05,0.15,0.05,167,2
0.2,0.6,0.05,0.15,0.1,172,2
0.2,0.6,0.05,0.15,0.15,171,2
0.2,0.6,0.05,0.15,0.2,156,2
0.2,0.6,0.05,0.15,0.25,158,2
0.2,0.6,0.05,0.15,0.3,170,2
0.2,0.6,0.05,0.2,0.05,160,2
0.2,0.6,0.05,0.2,0.1,168,2
0.2,0.6,0.05,0.2,0.15,169,2
0.2,0.6,0.05,0.2,0.2,165,2
0.2,0.6,0.05,0.2,0.25,162,2
0.2,0.6,0.05,0.2,0.3,157,2
0.2,0.6,0.05,0.25,0.05,167,2
0.2,0.6,0.05,0.25,0.1,157,2
0.2,0.6,0.05,0.25,0.15,169,2
0.2,0.6,0.05,0.25,0.2,174,2
0.2,0.6,0.05,0.25,0.25,169,2
0.2,0.6,0.05,0.25,0.3,167,2
0.2,0.6,0.05,0.3,0.05,170,2
0.2,0.6,0.05,0.3,0.1,164,2
0.2,0.6,0.05,0.3,0.15,168,2
0.2,0.6,0.05,0.3,0.2,168,2
0.2,0.6,0.05,0.3,0.25,169,2
0.2,0.6,0.05,0.3,0.3,164,2
0.2,0.6,0.1,0.05,0.05,165,2
0.2,0.6,0.1,0.05,0.1,144,2
0.2,0.6,0.1,0.05,0.15,143,2
0.2,0.6,0.1,0.05,0.2,117,2
0.2,0.6,0.1,0.05,0.25,116,2
0.2,0.6,0.1,0.05,0.3,161,2
0.2,0.6,0.1,0.1,0.05,158,2
0.2,0.6,0.1,0.1,0.1,153,2
0.2,0.6,0.1,0.1,0.15,167,2
