f_sigma,f_max,noise,alpha,beta,total_reward,seed
0.3,0.6,0.05,0.05,0.1,152,3
0.3,0.6,0.05,0.05,0.15,146,3
0.3,0.6,0.05,0.05,0.2,140,3
0.3,0.6,0.05,0.05,0.25,133,3
0.3,0.6,0.05,0.05,0.3,144,3
0.3,0.6,0.05,0.1,0.05,153,3
0.3,0.6,0.05,0.1,0.1,84,3
0.3,0.6,0.05,0.1,0.15,159,3
0.3,0.6,0.05,0.1,0.2,123,3
0.3,0.6,0.05,0.1,0.25,139,3
0.3,0.6,0.05,0.1,0.3,133,3
0.3,0.6,0.05,0.15,0.05,162,3
0.3,0.6,0.05,0.15,0.1,142,3
0.3,0.6,0.05,0.15,0.15,150,3
0.3,0.6,0.05,0.15,0.2,155,3
0.3,0.6,0.05,0.15,0.25,160,3
0.3,0.6,0.05,0.15,0.3,164,3
0.3,0.6,0.05,0.2,0.05,162,3
0.3,0.6,0.05,0.2,0.1,163,3
0.3,0.6,0.05,0.2,0.15,160,3
0.3,0.6,0.05,0.2,0.2,157,3
0.3,0.6,0.05,0.2,0.25,156,3
0.3,0.6,0.05,0.2,0.3,161,3
0.3,0.6,0.05,0.25,0.05,157,3
0.3,0.6,0.05,0.25,0.1,167,3
0.3,0.6,0.05,0.25,0.15,161,3
0.3,0.6,0.05,0.25,0.2,163,3
0.3,0.6,0.05,0.25,0.25,161,3
0.3,0.6,0.05,0.25,0.3,165,3
0.3,0.6,0.05,0.3,0.05,160,3
0.3,0.6,0.05,0.3,0.1,155,3
0.3,0.6,0.05,0.3,0.15,157,3
0.3,0.6,0.05,0.3,0.2,163,3
0.3,0.6,0.05,0.3,0.25,164,3
0.3,0.6,0.05,0.3,0.3,163,3
0.3,0.6,0.1,0.05,0.05,134,3
0.3,0.6,0.1,0.05,0.1,141,3
0.3,0.6,0.1,0.05,0.15,146,3
0.3,0.6,0.1,0.05,0.2,139,3
0.3,0.6,0.1,0.05,0.25,142,3
0.3,0.6,0.1,0.05,0.3,149,3
0.3,0.6,0.1,0.1,0.05,151,3
0.3,0.6,0.1,0.1,0.1,142,3
0.3,0.6,0.1,0.1,0.15,144,3
0.3,0.6,0.1,0.1,0.2,156,3
0.3,0.6,0.1,0.1,0.25,140,3
0.3,0.6,0.1,0.1,0.3,144,3
0.3,0.6,0.1,0.15,0.05,154,3
0.3,0.6,0.1,0.15,0.1,155,3
0.3,0.6,0.1,0.15,0.15,149,3
0.3,0.6,0.1,0.15,0.2,144,3
0.3,0.6,0.1,0.15,0.25,145,3
0.3,0.6,0.1,0.15,0.3,153,3
0.3,0.6,0.1,0.2,0.05,151,3
0.3,0.6,0.1,0.2,0.1,156,3
0.3,0.6,0.1,0.2,0.15,162,3
0.3,0.6,0.1,0.2,0.2,161,3
0.3,0.6,0.1,0.2,0.25,159,3
0.3,0.6,0.1,0.2,0.3,155,3
0.3,0.6,0.1,0.25,0.05,144,3
0.3,0.6,0.1,0.25,0.1,151,3
0.3,0.6,0.1,0.25,0.15,153,3
0.3,0.6,0.1,0.25,0.2,159,3
0.3,0.6,0.1,0.25,0.25,154,3
0.3,0.6,0.1,0.25,0.3,155,3
0.3,0.6,0.1,0.3,0.05,136,3
0.3,0.6,0.1,0.3,0.1,148,3
0.3,0.6,0.1,0.3,0.15,153,3
0.3,0.6,0.1,0.3,0.2,160,3
0.3,0.6,0.1,0.3,0.25,159,3
0.3,0.6,0.1,0.3,0.3,159,3
0.3,0.6,0.15,0.05,0.05,124,3
0.3,0.6,0.15,0.05,0.1,134,3
0.3,0.6,0.15,0.05,0.15,144,3
0.3,0.6,0.15,0.05,0.2,147,3
0.3,0.6,0.15,0.05,0.25,146,3
0.3,0.6,0.15,0.05,0.3,146,3
0.3,0.6,0.15,0.1,0.05,134,3
0.3,0.6,0.15,0.1,0.1,149,3
0.3,0.6,0.15,0.1,0.15,149,3
0.3,0.6,0.15,0.1,0.2,151,3
0.3,0.6,0.15,0.1,0.25,159,3
0.3,0.6,0.15,0.1,0.3,153,3
0.3,0.6,0.15,0.15,0.05,143,3
0.3,0.6,0.15,0.15,0.1,148,3
0.3,0.6,0.15,0.15,0.15,149,3
0.3,0.6,0.15,0.15,0.2,154,3
0.3,0.6,0.15,0.15,0.25,153,3
0.3,0.6,0.15,0.15,0.3,151,3
0.3,0.6,0.15,0.2,0.05,135,3
0.3,0.6,0.15,0.2,0.1,147,3
0.3,0.6,0.15,0.2,0.15,146,3
0.3,0.6,0.15,0.2,0.2,148,3
0.3,0.6,0.15,0.2,0.25,148,3
0.3,0.6,0.15,0.2,0.3,152,3
0.3,0.6,0.15,0.25,0.05,139,3
0.3,0.6,0.15,0.25,0.1,144,3
0.3,0.6,0.15,0.25,0.15,148,3
0.3,0.6,0.15,0.25,0.2,155,3
0.3,0.6,0.15,0.25,0.25,153,3
0.3,0.6,0.15,0.25,0.3,147,3
0.3,0.6,0.15,0.3,0.05,123,3
0.3,0.6,0.15,0.3,0.1,138,3
0.3,0.6,0.15,0.3,0.15,146,3
0.3,0.6,0.15,0.3,0.2,145,3
0.3,0.6,0.15,0.3,0.25,146,3
0.3,0.6,0.15,0.3,0.3,146,3
0.3,0.6,0.2,0.05,0.05,119,3
0.3,0.6,0.2,0.05,0.1,125,3
0.3,0.6,0.2,0.05,0.15,137,3
0.3,0.6,0.2,0.05,0.2,137,3
0.3,0.6,0.2,0.05,0.25,131,3
0.3,0.6,0.2,0.05,0.3,136,3
0.3,0.6,0.2,0.1,0.05,133,3
0.3,0.6,0.2,0.1,0.1,136,3
0.3,0.6,0.2,0.1,0.15,143,3
0.3,0.6,0.2,0.1,0.2,150,3
0.3,0.6,0.2,0.1,0.25,144,3
0.3,0.6,0.2,0.1,0.3,142,3
0.3,0.6,0.2,0.15,0.05,133,3
0.3,0.6,0.2,0.15,0.1,139,3
0.3,0.6,0.2,0.15,0.15,146,3
0.3,0.6,0.2,0.15,0.2,153,3
0.3,0.6,0.2,0.15,0.25,154,3
0.3,0.6,0.2,0.15,0.3,157,3
0.3,0.6,0.2,0.2,0.05,120,3
0.3,0.6,0.2,0.2,0.1,136,3
0.3,0.6,0.2,0.2,0.15,136,3
0.3,0.6,0.2,0.2,0.2,146,3
0.3,0.6,0.2,0.2,0.25,148,3
0.3,0.6,0.2,0.2,0.3,141,3
0.3,0.6,0.2,0.25,0.05,111,3
0.3,0.6,0.2,0.25,0.1,133,3
0.3,0.6,0.2,0.25,0.15,137,3
0.3,0.6,0.2,0.25,0.2,140,3
0.3,0.6,0.2,0.25,0.25,140,3
0.3,0.6,0.2,0.25,0.3,139,3
0.3,0.6,0.2,0.3,0.05,112,3
0.3,0.6,0.2,0.3,0.1,124,3
0.3,0.6,0.2,0.3,0.15,138,3
0.3,0.6,0.2,0.3,0.2,137,3
0.3,0.6,0.2,0.3,0.25,137,3
0.3,0.6,0.2,0.3,0.3,133,3
0.3,0.6,0.25,0.05,0.05,106,3
0.3,0.6,0.25,0.05,0.1,118,3
0.3,0.6,0.25,0.05,0.15,126,3
0.3,0.6,0.25,0.05,0.2,122,3
0.3,0.6,0.25,0.05,0.25,134,3
0.3,0.6,0.25,0.05,0.3,129,3
0.3,0.6,0.25,0.1,0.05,115,3
0.3,0.6,0.25,0.1,0.1,133,3
0.3,0.6,0.25,0.1,0.15,136,3
0.3,0.6,0.25,0.1,0.2,137,3
0.3,0.6,0.25,0.1,0.25,139,3
0.3,0.6,0.25,0.1,0.3,139,3
0.3,0.6,0.25,0.15,0.05,112,3
0.3,0.6,0.25,0.15,0.1,134,3
0.3,0.6,0.25,0.15,0.15,138,3
0.3,0.6,0.25,0.15,0.2,140,3
0.3,0.6,0.25,0.15,0.25,146,3
0.3,0.6,0.25,0.15,0.3,145,3
0.3,0.6,0.25,0.2,0.05,105,3
0.3,0.6,0.25,0.2,0.1,129,3
0.3,0.6,0.25,0.2,0.15,139,3
0.3,0.6,0.25,0.2,0.2,138,3
0.3,0.6,0.25,0.2,0.25,142,3
0.3,0.6,0.25,0.2,0.3,144,3
0.3,0.6,0.25,0.25,0.05,98,3
0.3,0.6,0.25,0.25,0.1,123,3
0.3,0.6,0.25,0.25,0.15,132,3
0.3,0.6,0.25,0.25,0.2,139,3
0.3,0.6,0.25,0.25,0.25,139,3
0.3,0.6,0.25,0.25,0.3,139,3
0.3,0.6,0.25,0.3,0.05,84,3
0.3,0.6,0.25,0.3,0.1,115,3
0.3,0.6,0.25,0.3,0.15,123,3
0.3,0.6,0.25,0.3,0.2,131,3
0.3,0.6,0.25,0.3,0.25,135,3
0.3,0.6,0.25,0.3,0.3,137,3
0.3,0.6,0.3,0.05,0.05,89,3
0.3,0.6,0.3,0.05,0.1,111,3
0.3,0.6,0.3,0.05,0.15,120,3
0.3,0.6,0.3,0.05,0.2,117,3
0.3,0.6,0.3,0.05,0.25,124,3
0.3,0.6,0.3,0.05,0.3,124,3
0.3,0.6,0.3,0.1,0.05,100,3
0.3,0.6,0.3,0.1,0.1,124,3
0.3,0.6,0.3,0.1,0.15,133,3
0.3,0.6,0.3,0.1,0.2,125,3
0.3,0.6,0.3,0.1,0.25,127,3
0.3,0.6,0.3,0.1,0.3,132,3
0.3,0.6,0.3,0.15,0.05,98,3
0.3,0.6,0.3,0.15,0.1,128,3
0.3,0.6,0.3,0.15,0.15,130,3
0.3,0.6,0.3,0.15,0.2,132,3
0.3,0.6,0.3,0.15,0.25,133,3
0.3,0.6,0.3,0.15,0.3,136,3
0.3,0.6,0.3,0.2,0.05,92,3
0.3,0.6,0.3,0.2,0.1,115,3
0.3,0.6,0.3,0.2,0.15,130,3
0.3,0.6,0.3,0.2,0.2,137,3
0.3,0.6,0.3,0.2,0.25,138,3
0.3,0.6,0.3,0.2,0.3,138,3
0.3,0.6,0.3,0.25,0.05,82,3
0.3,0.6,0.3,0.25,0.1,109,3
0.3,0.6,0.3,0.25,0.15,119,3
0.3,0.6,0.3,0.25,0.2,130,3
0.3,0.6,0.3,0.25,0.25,135,3
0.3,0.6,0.3,0.25,0.3,137,3
0.3,0.6,0.3,0.3,0.05,72,3
0.3,0.6,0.3,0.3,0.1,110,3
0.3,0.6,0.3,0.3,0.15,115,3
0.3,0.6,0.3,0.3,0.2,121,3
0.3,0.6,0.3,0.3,0.25,129,3
0.3,0.6,0.3,0.3,0.3,133,3
0.1,0.6,0.05,0.05,0.05,146,4
0.1,0.6,0.05,0.05,0.1,148,4
0.1,0.6,0.05,0.05,0.15,148,4
0.1,0.6,0.05,0.05,0.2,150,4
0.1,0.6,0.05,0.05,0.25,149,4
0.1,0.6,0.05,0.05,0.3,154,4
0.1,0.6,0.05,0.1,0.05,123,4
0.1,0.6,0.05,0.1,0.1,133,4
0.1,0.6,0.05,0.1,0.15,138,4
0.1,0.6,0.05,0.1,0.2,138,4
0.1,0.6,0.05,0.1,0.25,142,4
0.1,0.6,0.05,0.1,0.3,142,4
0.1,0.6,0.05,0.15,0.05,75,4
0.1,0.6,0.05,0.15,0.1,99,4
0.1,0.6,0.05,0.15,0.15,114,4
0.1,0.6,0.05,0.15,0.2,119,4
0.1,0.6,0.05,0.15,0.25,121,4
0.1,0.6,0.05,0.15,0.3,122,4
0.1,0.6,0.05,0.2,0.05,54,4
0.1,0.6,0.05,0.2,0.1,82,4
0.1,0.6,0.05,0.2,0.15,81,4
0.1,0.6,0.05,0.2,0.2,88,4
0.1,0.6,0.05,0.2,0.25,91,4
0.1,0.6,0.05,0.2,0.3,98,4
0.1,0.6,0.05,0.25,0.05,54,4
0.1,0.6,0.05,0.25,0.1,70,4
0.1,0.6,0.05,0.25,0.15,76,4
0.1,0.6,0.05,0.25,0.2,78,4
0.1,0.6,0.05,0.25,0.25,81,4
0.1,0.6,0.05,0.25,0.3,80,4
0.1,0.6,0.05,0.3,0.05,49,4
0.1,0.6,0.05,0.3,0.1,59,4
0.1,0.6,0.05,0.3,0.15,66,4
0.1,0.6,0.05,0.3,0.2,67,4
0.1,0.6,0.05,0.3,0.25,70,4
0.1,0.6,0.05,0.3,0.3,69,4
0.1,0.6,0.1,0.05,0.05,96,4
0.1,0.6,0.1,0.05,0.1,138,4
0.1,0.6,0.1,0.05,0.15,143,4
0.1,0.6,0.1,0.05,0.2,144,4
0.1,0.6,0.1,0.05,0.25,144,4
0.1,0.6,0.1,0.05,0.3,147,4
0.1,0.6,0.1,0.1,0.05,46,4
0.1,0.6,0.1,0.1,0.1,84,4
0.1,0.6,0.1,0.1,0.15,92,4
0.1,0.6,0.1,0.1,0.2,115,4
0.1,0.6,0.1,0.1,0.25,122,4
0.1,0.6,0.1,0.1,0.3,125,4
0.1,0.6,0.1,0.15,0.05,37,4
0.1,0.6,0.1,0.15,0.1,54,4
0.1,0.6,0.1,0.15,0.15,78,4
0.1,0.6,0.1,0.15,0.2,80,4
0.1,0.6,0.1,0.15,0.25,83,4
0.1,0.6,0.1,0.15,0.3,88,4
0.1,0.6,0.1,0.2,0.05,28,4
0.1,0.6,0.1,0.2,0.1,48,4
0.1,0.6,0.1,0.2,0.15,55,4
0.1,0.6,0.1,0.2,0.2,61,4
0.1,0.6,0.1,0.2,0.25,64,4
0.1,0.6,0.1,0.2,0.3,71,4
0.1,0.6,0.1,0.25,0.05,24,4
0.1,0.6,0.1,0.25,0.1,48,4
0.1,0.6,0.1,0.25,0.15,51,4
0.1,0.6,0.1,0.25,0.2,53,4
0.1,0.6,0.1,0.25,0.25,54,4
0.1,0.6,0.1,0.25,0.3,58,4
0.1,0.6,0.1,0.3,0.05,23,4
0.1,0.6,0.1,0.3,0.1,32,4
0.1,0.6,0.1,0.3,0.15,40,4
0.1,0.6,0.1,0.3,0.2,49,4
0.1,0.6,0.1,0.3,0.25,52,4
0.1,0.6,0.1,0.3,0.3,52,4
0.1,0.6,0.15,0.05,0.05,37,4
0.1,0.6,0.15,0.05,0.1,97,4
0.1,0.6,0.15,0.05,0.15,120,4
0.1,0.6,0.15,0.05,0.2,103,4
0.1,0.6,0.15,0.05,0.25,114,4
0.1,0.6,0.15,0.05,0.3,113,4
0.1,0.6,0.15,0.1,0.05,27,4
0.1,0.6,0.15,0.1,0.1,49,4
0.1,0.6,0.15,0.1,0.15,61,4
0.1,0.6,0.15,0.1,0.2,72,4
0.1,0.6,0.15,0.1,0.25,73,4
0.1,0.6,0.15,0.1,0.3,81,4
0.1,0.6,0.15,0.15,0.05,22,4
0.1,0.6,0.15,0.15,0.1,36,4
0.1,0.6,0.15,0.15,0.15,44,4
0.1,0.6,0.15,0.15,0.2,55,4
0.1,0.6,0.15,0.15,0.25,59,4
0.1,0.6,0.15,0.15,0.3,63,4
0.1,0.6,0.15,0.2,0.05,21,4
0.1,0.6,0.15,0.2,0.1,29,4
0.1,0.6,0.15,0.2,0.15,38,4
0.1,0.6,0.15,0.2,0.2,47,4
0.1,0.6,0.15,0.2,0.25,47,4
0.1,0.6,0.15,0.2,0.3,49,4
0.1,0.6,0.15,0.25,0.05,20,4
0.1,0.6,0.15,0.25,0.1,25,4
0.1,0.6,0.15,0.25,0.15,31,4
0.1,0.6,0.15,0.25,0.2,32,4
0.1,0.6,0.15,0.25,0.25,37,4
0.1,0.6,0.15,0.25,0.3,46,4
0.1,0.6,0.15,0.3,0.05,17,4
0.1,0.6,0.15,0.3,0.1,23,4
0.1,0.6,0.15,0.3,0.15,23,4
0.1,0.6,0.15,0.3,0.2,27,4
0.1,0.6,0.15,0.3,0.25,31,4
0.1,0.6,0.15,0.3,0.3,31,4
0.1,0.6,0.2,0.05,0.05,29,4
0.1,0.6,0.2,0.05,0.1,51,4
0.1,0.6,0.2,0.05,0.15,71,4
0.1,0.6,0.2,0.05,0.2,71,4
0.1,0.6,0.2,0.05,0.25,110,4
0.1,0.6,0.2,0.05,0.3,111,4
0.1,0.6,0.2,0.1,0.05,20,4
0.1,0.6,0.2,0.1,0.1,30,4
0.1,0.6,0.2,0.1,0.15,52,4
0.1,0.6,0.2,0.1,0.2,46,4
0.1,0.6,0.2,0.1,0.25,60,4
0.1,0.6,0.2,0.1,0.3,61,4
0.1,0.6,0.2,0.15,0.05,16,4
0.1,0.6,0.2,0.15,0.1,24,4
0.1,0.6,0.2,0.15,0.15,27,4
0.1,0.6,0.2,0.15,0.2,31,4
0.1,0.6,0.2,0.15,0.25,42,4
0.1,0.6,0.2,0.15,0.3,48,4
0.1,0.6,0.2,0.2,0.05,15,4
0.1,0.6,0.2,0.2,0.1,23,4
0.1,0.6,0.2,0.2,0.15,25,4
0.1,0.6,0.2,0.2,0.2,31,4
0.1,0.6,0.2,0.2,0.25,31,4
0.1,0.6,0.2,0.2,0.3,32,4
0.1,0.6,0.2,0.25,0.05,8,4
0.1,0.6,0.2,0.25,0.1,22,4
0.1,0.6,0.2,0.25,0.15,24,4
0.1,0.6,0.2,0.25,0.2,25,4
0.1,0.6,0.2,0.25,0.25,30,4
0.1,0.6,0.2,0.25,0.3,32,4
0.1,0.6,0.2,0.3,0.05,6,4
0.1,0.6,0.2,0.3,0.1,17,4
0.1,0.6,0.2,0.3,0.15,19,4
0.1,0.6,0.2,0.3,0.2,25,4
0.1,0.6,0.2,0.3,0.25,26,4
0.1,0.6,0.2,0.3,0.3,26,4
0.1,0.6,0.25,0.05,0.05,23,4
0.1,0.6,0.25,0.05,0.1,33,4
0.1,0.6,0.25,0.05,0.15,52,4
0.1,0.6,0.25,0.05,0.2,61,4
0.1,0.6,0.25,0.05,0.25,74,4
0.1,0.6,0.25,0.05,0.3,58,4
0.1,0.6,0.25,0.1,0.05,14,4
0.1,0.6,0.25,0.1,0.1,26,4
0.1,0.6,0.25,0.1,0.15,28,4
0.1,0.6,0.25,0.1,0.2,34,4
0.1,0.6,0.25,0.1,0.25,40,4
0.1,0.6,0.25,0.1,0.3,44,4
0.1,0.6,0.25,0.15,0.05,13,4
0.1,0.6,0.25,0.15,0.1,23,4
0.1,0.6,0.25,0.15,0.15,24,4
0.1,0.6,0.25,0.15,0.2,26,4
0.1,0.6,0.25,0.15,0.25,26,4
0.1,0.6,0.25,0.15,0.3,26,4
0.1,0.6,0.25,0.2,0.05,10,4
0.1,0.6,0.25,0.2,0.1,19,4
0.1,0.6,0.25,0.2,0.15,23,4
0.1,0.6,0.25,0.2,0.2,23,4
0.1,0.6,0.25,0.2,0.25,23,4
0.1,0.6,0.25,0.2,0.3,24,4
0.1,0.6,0.25,0.25,0.05,7,4
0.1,0.6,0.25,0.25,0.1,15,4
0.1,0.6,0.25,0.25,0.15,20,4
0.1,0.6,0.25,0.25,0.2,22,4
0.1,0.6,0.25,0.25,0.25,23,4
0.1,0.6,0.25,0.25,0.3,25,4
0.1,0.6,0.25,0.3,0.05,6,4
0.1,0.6,0.25,0.3,0.1,11,4
0.1,0.6,0.25,0.3,0.15,16,4
0.1,0.6,0.25,0.3,0.2,19,4
0.1,0.6,0.25,0.3,0.25,20,4
0.1,0.6,0.25,0.3,0.3,22,4
0.1,0.6,0.3,0.05,0.05,19,4
0.1,0.6,0.3,0.05,0.1,28,4
0.1,0.6,0.3,0.05,0.15,32,4
0.1,0.6,0.3,0.05,0.2,46,4
0.1,0.6,0.3,0.05,0.25,45,4
0.1,0.6,0.3,0.05,0.3,58,4
0.1,0.6,0.3,0.1,0.05,11,4
0.1,0.6,0.3,0.1,0.1,19,4
0.1,0.6,0.3,0.1,0.15,25,4
0.1,0.6,0.3,0.1,0.2,25,4
0.1,0.6,0.3,0.1,0.25,26,4
0.1,0.6,0.3,0.1,0.3,30,4
0.1,0.6,0.3,0.15,0.05,9,4
0.1,0.6,0.3,0.15,0.1,16,4
0.1,0.6,0.3,0.15,0.15,22,4
0.1,0.6,0.3,0.15,0.2,24,4
0.1,0.6,0.3,0.15,0.25,24,4
0.1,0.6,0.3,0.15,0.3,26,4
0.1,0.6,0.3,0.2,0.05,8,4
0.1,0.6,0.3,0.2,0.1,15,4
0.1,0.6,0.3,0.2,0.15,17,4
0.1,0.6,0.3,0.2,0.2,22,4
0.1,0.6,0.3,0.2,0.25,23,4
0.1,0.6,0.3,0.2,0.3,23,4
0.1,0.6,0.3,0.25,0.05,7,4
0.1,0.6,0.3,0.25,0.1,9,4
0.1,0.6,0.3,0.25,0.15,16,4
0.1,0.6,0.3,0.25,0.2,19,4
0.1,0.6,0.3,0.25,0.25,20,4
0.1,0.6,0.3,0.25,0.3,21,4
0.1,0.6,0.3,0.3,0.05,5,4
0.1,0.6,0.3,0.3,0.1,9,4
0.1,0.6,0.3,0.3,0.15,11,4
0.1,0.6,0.3,0.3,0.2,15,4
0.1,0.6,0.3,0.3,0.25,19,4
0.1,0.6,0.3,0.3,0.3,20,4
0.2,0.6,0.05,0.05,0.05,158,4
0.2,0.6,0.05,0.05,0.1,156,4
0.2,0.6,0.05,0.05,0.15,97,4
0.2,0.6,0.05,0.05,0.2,94,4
0.2,0.6,0.05,0.05,0.25,93,4
0.2,0.6,0.05,0.05,0.3,95,4
0.2,0.6,0.05,0.1,0.05,153,4
0.2,0.6,0.05,0.1,0.1,158,4
0.2,0.6,0.05,0.1,0.15,162,4
0.2,0.6,0.05,0.1,0.2,152,4
0.2,0.6,0.05,0.1,0.25,161,4
0.2,0.6,0.05,0.1,0.3,161,4
0.2,0.6,0.05,0.15,0.05,140,4
0.2,0.6,0.05,0.15,0.1,152,4
0.2,0.6,0.05,0.15,0.15,157,4
0.2,0.6,0.05,0.15,0.2,160,4
0.2,0.6,0.05,0.15,0.25,161,4
0.2,0.6,0.05,0.15,0.3,161,4
0.2,0.6,0.05,0.2,0.05,128,4
0.2,0.6,0.05,0.2,0.1,137,4
0.2,0.6,0.05,0.2,0.15,146,4
0.2,0.6,0.05,0.2,0.2,144,4
0.2,0.6,0.05,0.2,0.25,150,4
0.2,0.6,0.05,0.2,0.3,151,4
0.2,0.6,0.05,0.25,0.05,121,4
0.2,0.6,0.05,0.25,0.1,134,4
0.2,0.6,0.05,0.25,0.15,133,4
0.2,0.6,0.05,0.25,0.2,143,4
0.2,0.6,0.05,0.25,0.25,144,4
0.2,0.6,0.05,0.25,0.3,145,4
0.2,0.6,0.05,0.3,0.05,111,4
0.2,0.6,0.05,0.3,0.1,117,4
0.2,0.6,0.05,0.3,0.15,121,4
0.2,0.6,0.05,0.3,0.2,134,4
0.2,0.6,0.05,0.3,0.25,139,4
0.2,0.6,0.05,0.3,0.3,141,4
0.2,0.6,0.1,0.05,0.05,135,4
0.2,0.6,0.1,0.05,0.1,157,4
0.2,0.6,0.1,0.05,0.15,155,4
0.2,0.6,0.1,0.05,0.2,159,4
0.2,0.6,0.1,0.05,0.25,158,4
0.2,0.6,0.1,0.05,0.3,158,4
0.2,0.6,0.1,0.1,0.05,120,4
0.2,0.6,0.1,0.1,0.1,136,4
0.2,0.6,0.1,0.1,0.15,145,4
0.2,0.6,0.1,0.1,0.2,147,4
0.2,0.6,0.1,0.1,0.25,149,4
0.2,0.6,0.1,0.1,0.3,152,4
0.2,0.6,0.1,0.15,0.05,114,4
0.2,0.6,0.1,0.15,0.1,121,4
0.2,0.6,0.1,0.15,0.15,135,4
0.2,0.6,0.1,0.15,0.2,136,4
0.2,0.6,0.1,0.15,0.25,134,4
0.2,0.6,0.1,0.15,0.3,138,4
0.2,0.6,0.1,0.2,0.05,104,4
0.2,0.6,0.1,0.2,0.1,112,4
0.2,0.6,0.1,0.2,0.15,121,4
0.2,0.6,0.1,0.2,0.2,126,4
0.2,0.6,0.1,0.2,0.25,127,4
0.2,0.6,0.1,0.2,0.3,131,4
0.2,0.6,0.1,0.25,0.05,93,4
0.2,0.6,0.1,0.25,0.1,107,4
0.2,0.6,0.1,0.25,0.15,115,4
0.2,0.6,0.1,0.25,0.2,125,4
0.2,0.6,0.1,0.25,0.25,126,4
0.2,0.6,0.1,0.25,0.3,122,4
0.2,0.6,0.1,0.3,0.05,79,4
0.2,0.6,0.1,0.3,0.1,106,4
0.2,0.6,0.1,0.3,0.15,108,4
0.2,0.6,0.1,0.3,0.2,107,4
0.2,0.6,0.1,0.3,0.25,114,4
0.2,0.6,0.1,0.3,0.3,117,4
0.2,0.6,0.15,0.05,0.05,78,4
0.2,0.6,0.15,0.05,0.1,123,4
0.2,0.6,0.15,0.05,0.15,126,4
0.2,0.6,0.15,0.05,0.2,132,4
0.2,0.6,0.15,0.05,0.25,132,4
0.2,0.6,0.15,0.05,0.3,135,4
0.2,0.6,0.15,0.1,0.05,93,4
0.2,0.6,0.15,0.1,0.1,118,4
0.2,0.6,0.15,0.1,0.15,124,4
0.2,0.6,0.15,0.1,0.2,126,4
0.2,0.6,0.15,0.1,0.25,137,4
0.2,0.6,0.15,0.1,0.3,124,4
0.2,0.6,0.15,0.15,0.05,88,4
0.2,0.6,0.15,0.15,0.1,111,4
0.2,0.6,0.15,0.15,0.15,120,4
0.2,0.6,0.15,0.15,0.2,121,4
0.2,0.6,0.15,0.15,0.25,130,4
0.2,0.6,0.15,0.15,0.3,126,4
0.2,0.6,0.15,0.2,0.05,77,4
0.2,0.6,0.15,0.2,0.1,107,4
0.2,0.6,0.15,0.2,0.15,108,4
0.2,0.6,0.15,0.2,0.2,117,4
0.2,0.6,0.15,0.2,0.25,117,4
0.2,0.6,0.15,0.2,0.3,123,4
0.2,0.6,0.15,0.25,0.05,51,4
0.2,0.6,0.15,0.25,0.1,93,4
0.2,0.6,0.15,0.25,0.15,103,4
0.2,0.6,0.15,0.25,0.2,110,4
0.2,0.6,0.15,0.25,0.25,106,4
0.2,0.6,0.15,0.25,0.3,110,4
0.2,0.6,0.15,0.3,0.05,41,4
0.2,0.6,0.15,0.3,0.1,77,4
0.2,0.6,0.15,0.3,0.15,93,4
0.2,0.6,0.15,0.3,0.2,100,4
0.2,0.6,0.15,0.3,0.25,104,4
0.2,0.6,0.15,0.3,0.3,108,4
0.2,0.6,0.2,0.05,0.05,61,4
0.2,0.6,0.2,0.05,0.1,98,4
0.2,0.6,0.2,0.05,0.15,119,4
0.2,0.6,0.2,0.05,0.2,122,4
0.2,0.6,0.2,0.05,0.25,128,4
0.2,0.6,0.2,0.05,0.3,117,4
0.2,0.6,0.2,0.1,0.05,60,4
0.2,0.6,0.2,0.1,0.1,96,4
0.2,0.6,0.2,0.1,0.15,116,4
0.2,0.6,0.2,0.1,0.2,118,4
0.2,0.6,0.2,0.1,0.25,120,4
0.2,0.6,0.2,0.1,0.3,117,4
0.2,0.6,0.2,0.15,0.05,54,4
0.2,0.6,0.2,0.15,0.1,96,4
0.2,0.6,0.2,0.15,0.15,102,4
0.2,0.6,0.2,0.15,0.2,108,4
0.2,0.6,0.2,0.15,0.25,118,4
0.2,0.6,0.2,0.15,0.3,117,4
0.2,0.6,0.2,0.2,0.05,42,4
0.2,0.6,0.2,0.2,0.1,78,4
0.2,0.6,0.2,0.2,0.15,91,4
0.2,0.6,0.2,0.2,0.2,103,4
0.2,0.6,0.2,0.2,0.25,106,4
0.2,0.6,0.2,0.2,0.3,108,4
0.2,0.6,0.2,0.25,0.05,41,4
0.2,0.6,0.2,0.25,0.1,65,4
0.2,0.6,0.2,0.25,0.15,82,4
0.2,0.6,0.2,0.25,0.2,93,4
0.2,0.6,0.2,0.25,0.25,94,4
0.2,0.6,0.2,0.25,0.3,102,4
0.2,0.6,0.2,0.3,0.05,36,4
0.2,0.6,0.2,0.3,0.1,51,4
0.2,0.6,0.2,0.3,0.15,68,4
0.2,0.6,0.2,0.3,0.2,77,4
0.2,0.6,0.2,0.3,0.25,90,4
0.2,0.6,0.2,0.3,0.3,92,4
0.2,0.6,0.25,0.05,0.05,48,4
0.2,0.6,0.25,0.05,0.1,74,4
0.2,0.6,0.25,0.05,0.15,81,4
0.2,0.6,0.25,0.05,0.2,83,4
0.2,0.6,0.25,0.05,0.25,84,4
0.2,0.6,0.25,0.05,0.3,96,4
0.2,0.6,0.25,0.1,0.05,44,4
