f_sigma,f_max,noise,alpha,beta,total_reward,seed
0.1,0.6,0.2,0.1,0.1,29,1
0.1,0.6,0.2,0.1,0.15,34,1
0.1,0.6,0.2,0.1,0.2,33,1
0.1,0.6,0.2,0.1,0.25,31,1
0.1,0.6,0.2,0.1,0.3,33,1
0.1,0.6,0.2,0.15,0.05,10,1
0.1,0.6,0.2,0.15,0.1,17,1
0.1,0.6,0.2,0.15,0.15,25,1
0.1,0.6,0.2,0.15,0.2,28,1
0.1,0.6,0.2,0.15,0.25,29,1
0.1,0.6,0.2,0.15,0.3,29,1
0.1,0.6,0.2,0.2,0.05,10,1
0.1,0.6,0.2,0.2,0.1,11,1
0.1,0.6,0.2,0.2,0.15,16,1
0.1,0.6,0.2,0.2,0.2,22,1
0.1,0.6,0.2,0.2,0.25,27,1
0.1,0.6,0.2,0.2,0.3,28,1
0.1,0.6,0.2,0.25,0.05,10,1
0.1,0.6,0.2,0.25,0.1,10,1
0.1,0.6,0.2,0.25,0.15,13,1
0.1,0.6,0.2,0.25,0.2,17,1
0.1,0.6,0.2,0.25,0.25,17,1
0.1,0.6,0.2,0.25,0.3,25,1
0.1,0.6,0.2,0.3,0.05,10,1
0.1,0.6,0.2,0.3,0.1,11,1
0.1,0.6,0.2,0.3,0.15,11,1
0.1,0.6,0.2,0.3,0.2,18,1
0.1,0.6,0.2,0.3,0.25,19,1
0.1,0.6,0.2,0.3,0.3,19,1
0.1,0.6,0.25,0.05,0.05,15,1
0.1,0.6,0.25,0.05,0.1,30,1
0.1,0.6,0.25,0.05,0.15,42,1
0.1,0.6,0.25,0.05,0.2,55,1
0.1,0.6,0.25,0.05,0.25,61,1
0.1,0.6,0.25,0.05,0.3,63,1
0.1,0.6,0.25,0.1,0.05,11,1
0.1,0.6,0.25,0.1,0.1,18,1
0.1,0.6,0.25,0.1,0.15,28,1
0.1,0.6,0.25,0.1,0.2,30,1
0.1,0.6,0.25,0.1,0.25,31,1
0.1,0.6,0.25,0.1,0.3,33,1
0.1,0.6,0.25,0.15,0.05,10,1
0.1,0.6,0.25,0.15,0.1,10,1
